utr,value_date,posting_date,description,credit_amount,debit_amount,closing_balance,bank_ref_no,transaction_type
dt6SzdbZD2bXvMIDgVs,01-08-2026,02-08-2026,UPI-SETL-LENSKART SOLUTIONS-BATCH86,2695.39,,790454.42,770095264897,SETTLEMENT
KRk8TjQCHuOmJKKvZYE,30-07-2026,30-07-2026,UPI-SETL-BUNDL TECHNOLOGIES-416417599263-setl_x6TcL0zdala9QG-BATCH49,1332.04,,436152.68,416417599263,SETTLEMENT
u2oDQpDSmS6dodBMiHtKY,30-07-2026,31-07-2026,UPI-SETL-MYNTRA DESIGNS-BATCH82,776.19,,436589.76,HODTXWOI,SETTLEMENT
AdDK1t0lEbawCAL80YxB,14-08-2026,14-08-2026,IMPS-SETL-THREPSI SOLUTIONS-933160107816-setl_b3hvycdQZMkQ98-BATCH76,219.47,,844430.15,933160107816,SETTLEMENT
HkKCySG5pwegfBZBcvNe,20-08-2026,20-08-2026,NEFT-SETL-INNOVATIVE RETAIL CONCEPTS-209289297906-setl_FLbuTIRaD21Y5c-BATCH25,438.17,,293365.02,GMQYOXQX,SETTLEMENT
nlq0ppDwQyISgufHy,19-08-2026,20-08-2026,UPI-SETL-INNOVATIVE RETAIL CONCEPTS-323777628244-setl_sruMrJ4ICgwuwE-BATCH77,96.42,,857376.82,323777628244,SETTLEMENT
Xu907O4SOoA622injXYG,29-07-2026,29-07-2026,UPI-SETL-THREPSI SOLUTIONS-116395602060-setl_UCnoS6Qp3IcJ26-BATCH24,4861.64,,396512.20,116395602060,SETTLEMENT
iwDeTZB94gKQDRdMQQ,20-08-2026,20-08-2026,NEFT-SETL-BUNDL TECHNOLOGIES-386712035514-setl_GCHj975T5wJPgY-BATCH7,5149.03,,113243.73,386712035514,SETTLEMENT
4BJppoFmqaoVWKlUr4u05J,13-08-2026,13-08-2026,UPI-SETL-MYNTRA DESIGNS-BATCH58,52633.99,,130679.09,,SETTLEMENT
dMzct4Jz8HYR2YHNBS,10-08-2026,10-08-2026,NEFT-SETL-DELIGHTFUL GOURMET-944826512173-setl_BYgaTjGThnmRIU-BATCH67,193.41,,663146.61,IEWBJXMZ,SETTLEMENT
onpMQKzrRDkGMjhgim5FHb,29-07-2026,29-07-2026,NEFT-SETL-URBAN COMPANY-886742254616-setl_XDHnLhC7Rc9Nmo-BATCH50,339.80,,159253.16,WQRAAYNA,SETTLEMENT
V6YB9CNiFozh8trU,27-07-2026,28-07-2026,UPI-SETL-MYNTRA DESIGNS-297444888107-setl_mr3zOXuEYTiKsn-BATCH68,49380.55,,527605.90,297444888107,SETTLEMENT
1A4rm3Ti1mF0vk54,28-07-2026,28-07-2026,NEFT-SETL-THREPSI SOLUTIONS-237990107134-setl_HAoWNger5PD36H-BATCH88,145.39,,880290.07,RFZHCOMD,SETTLEMENT
S8v2tQYS22Sw1U0MKS,17-08-2026,17-08-2026,UPI-SETL-BUNDL TECHNOLOGIES-BATCH24,63791.21,,962259.96,,SETTLEMENT
pMwYk7zO9NXJ6T5yosVgJk,04-08-2026,04-08-2026,NEFT-SETL-DELIGHTFUL GOURMET-717486687578-setl_kogyXaFVt8I8kv-BATCH45,25.14,,595397.28,717486687578,SETTLEMENT
07Ndz11h3lWkPPcHes4A,21-08-2026,21-08-2026,NEFT-SETL-ZOMATO LIMITED-637367208547-setl_KwUyB5plHRxMsS-BATCH98,973.80,,431095.69,637367208547,SETTLEMENT
eWfoH2zLMVeNxyXfsulS,27-07-2026,27-07-2026,NEFT-SETL-INNOVATIVE RETAIL CONCEPTS-BATCH42,13399.08,,570927.17,SFNMXROP,SETTLEMENT
fmcR2Ex53F5pgsGPRWn,29-07-2026,29-07-2026,UPI-SETL-CUREFIT HEALTHCARE-421015460457-setl_oLXba28YVNb2iz-BATCH75,487.16,,826608.01,421015460457,SETTLEMENT
u8MZcTDD90C6adJlHr7bfC,16-08-2026,16-08-2026,NEFT-SETL-DELIGHTFUL GOURMET-298267477234-setl_DILBsF3HbLggkG-BATCH71,4423.01,,179877.67,TVCFPYDB,SETTLEMENT
4HmSxi7oAtgPGo8RHQ5pHX,05-08-2026,05-08-2026,NEFT-SETL-THREPSI SOLUTIONS-645011444317-setl_IJynzpajOxGavh-BATCH18,321.73,,184447.17,645011444317,SETTLEMENT
s2Dq8HLR7ycQB8Ff,14-08-2026,14-08-2026,UPI-SETL-BIGTREE ENTERTAINMENT-187306895341-setl_SFj1ETAFU0jeDC-BATCH30,4822.79,,753651.46,OAVCPUOP,SETTLEMENT
l1O2sqb4hnMhdqSrUgM,25-07-2026,25-07-2026,NEFT-SETL-FSN E-COMMERCE-854324696435-setl_DhxiZd3G12aIG6-BATCH35,9077.80,,897759.66,854324696435,SETTLEMENT
47yE65Ybf4bqIzaVc,29-07-2026,29-07-2026,NEFT-SETL-MYNTRA DESIGNS-211970926121-setl_X48aqKEJkK14Co-BATCH99,972.23,,387368.52,211970926121,SETTLEMENT
S2EEI101ervn6tv6mt,02-08-2026,02-08-2026,IMPS-SETL-ZOMATO LIMITED-BATCH93,729.38,,927389.33,KNDOJDHK,SETTLEMENT
QLIS4fZHhQhGe6ILWjG4RO,19-08-2026,19-08-2026,NEFT-SETL-FLIPKART INTERNET-527018738336-setl_NNCgD08gBlbzvh-BATCH42,181.98,,411497.57,527018738336,SETTLEMENT
MZCMBUbMnH9rWCEEnqD,31-07-2026,31-07-2026,IMPS-SETL-URBAN COMPANY-437525673176-setl_QQzMOiRIsTRhhd-BATCH21,14599.77,,482800.82,437525673176,SETTLEMENT
OFNVdj5wDKJ384J1e7B,13-08-2026,13-08-2026,UPI-SETL-AMAZON RETAIL-BATCH27,207845.41,,564602.20,,SETTLEMENT
2yF3eEcW8Z8b3bPjl4vUMk,17-08-2026,17-08-2026,NEFT-SETL-BUNDL TECHNOLOGIES-946782742391-setl_EGXBTKbPUxsVSk-BATCH49,167.96,,238033.99,XXAOELOF,SETTLEMENT
iYcBzXkbDsoMh5psJ,24-07-2026,25-07-2026,NEFT-SETL-DELIGHTFUL GOURMET-728957640338-setl_PC8TIZlf05ZM1K-BATCH86,71.02,,736899.10,728957640338,SETTLEMENT
c98Np4Du49FMOgZFjUSCG,28-07-2026,29-07-2026,IMPS-SETL-MAKEMYTRIP INDIA-403840441011-setl_I4T9wgpu4aJe1D-BATCH63,971.26,,540796.13,403840441011,SETTLEMENT
72ePY4frt8mI3jHz,29-07-2026,29-07-2026,IMPS-SETL-AMAZON RETAIL-691855183921-setl_yPSuCgBUfEyH2S-BATCH63,1265.95,,683108.16,KKXWKIMQ,SETTLEMENT
sokN6F2KWbdLIpNjBhjR,17-08-2026,17-08-2026,IMPS-SETL-AMAZON RETAIL-951127702728-setl_yRPhlnZmOiuNHF-BATCH79,81.18,,448871.76,951127702728,SETTLEMENT
oIfHP2MPRAjCZ2qR30ULXa,13-08-2026,14-08-2026,IMPS-SETL-THREPSI SOLUTIONS-262753090610-setl_i32VlxUc0Jp3cM-BATCH15,641.08,,309028.61,HDFXQUMH,SETTLEMENT
TabQZSqPr0fU134qOJmAY,02-08-2026,02-08-2026,NEFT-SETL-CUREFIT HEALTHCARE-399255896217-setl_ml3JmImVqhOdEU-BATCH40,2919.93,,550116.57,HMLTEFSL,SETTLEMENT
oHa3flF5EYoUZN0ny9woag,16-08-2026,16-08-2026,CHGBK-REVERSAL-326066252578,,207.85,911265.76,,CHARGEBACK
McOfM0z2DopsLvH4MosK,13-08-2026,14-08-2026,IMPS-SETL-ZOMATO LIMITED-BATCH22,1448.07,,957397.96,979132406478,SETTLEMENT
KibtEo4ovKQcswtin,30-07-2026,30-07-2026,NEFT-SETL-AMAZON RETAIL-411536699290-setl_8poddre9C9wo6L-BATCH46,14812.86,,559624.01,BINEEKJZ,SETTLEMENT
Kfg1AxKOGfnPvCUTl4gG30,19-08-2026,19-08-2026,IMPS-SETL-LENSKART SOLUTIONS-580280885138-setl_DTuVmQJ2EGjChK-BATCH74,1750.27,,297567.28,580280885138,SETTLEMENT
QQP8jSjPdCovXBDL7t6,05-08-2026,05-08-2026,UPI-SETL-BUNDL TECHNOLOGIES-738825744557-setl_dD22yjUTWPvAFi-BATCH11,2280.47,,616057.71,738825744557,SETTLEMENT
K4Q0kMKAiN9fpHQIjr6,15-08-2026,15-08-2026,NEFT-SETL-MAKEMYTRIP INDIA-580146235479-setl_Vh3O72ZneaDmFo-BATCH65,5846.13,,552930.07,EDBEHCVW,SETTLEMENT
E9Af4FBRfo5yn2kFOo,16-08-2026,16-08-2026,NEFT-SETL-MAKEMYTRIP INDIA-786632757988-setl_TKLNGDJQbFZGDO-BATCH42,8268.46,,224023.74,DBCYLWCP,SETTLEMENT
